"synsetid","wordid","casedwordid","lemma","senseid","sensenum","lexid","tagcount","sensekey","cased","pos","lexdomainid","definition","sampleset"
107900157,107173,NULL,"quaff",147690,1,0,0,"quaff%1:13:00::",NULL,"n",13,"a hearty draft",NULL
107900241,113100,NULL,"round",157144,9,1,0,"round%1:13:01::",NULL,"n",13,"a serving to each of a group (usually alcoholic)","he ordered a second round"
107900241,113112,NULL,"round of drinks",157193,1,0,0,"round_of_drinks%1:13:00::",NULL,"n",13,"a serving to each of a group (usually alcoholic)","he ordered a second round"
107900388,101637,NULL,"pledge",139673,3,0,0,"pledge%1:13:00::",NULL,"n",13,"a drink in honor of or to the health of a person or event",NULL
107900388,133625,NULL,"toast",187680,4,1,0,"toast%1:13:01::",NULL,"n",13,"a drink in honor of or to the health of a person or event",NULL
107900542,3436,NULL,"alcohol",4662,1,0,3,"alcohol%1:13:00::",NULL,"n",13,"a liquor or brew containing alcohol as the active agent","alcohol (or drink) ruined him"
107900542,3448,NULL,"alcoholic beverage",4677,1,0,0,"alcoholic_beverage%1:13:00::",NULL,"n",13,"a liquor or brew containing alcohol as the active agent","alcohol (or drink) ruined him"
107900542,3450,NULL,"alcoholic drink",4679,1,0,0,"alcoholic_drink%1:13:00::",NULL,"n",13,"a liquor or brew containing alcohol as the active agent","alcohol (or drink) ruined him"
107900542,68915,NULL,"inebriant",95471,1,0,0,"inebriant%1:13:00::",NULL,"n",13,"a liquor or brew containing alcohol as the active agent","alcohol (or drink) ruined him"
107900542,70318,NULL,"intoxicant",97611,1,0,0,"intoxicant%1:13:00::",NULL,"n",13,"a liquor or brew containing alcohol as the active agent","alcohol (or drink) ruined him"
107901198,39220,NULL,"drink",55398,1,4,20,"drink%1:13:04::",NULL,"n",13,"a single serving of a beverage","I asked for a hot drink|likes a drink before dinner"
107901680,105232,NULL,"proof spirit",145032,1,0,0,"proof_spirit%1:13:00::",NULL,"n",13,"a mixture containing half alcohol by volume at 60 degrees Fahrenheit",NULL
107901807,77281,NULL,"libation",106859,2,0,0,"libation%1:13:00::",NULL,"n",13,"a serving (of wine) poured out in honor of a deity",NULL
107901912,77281,NULL,"libation",106860,1,2,0,"libation%1:13:02::",NULL,"n",13,"(facetious) a serving of an alcoholic beverage",NULL
107902032,64778,NULL,"home brew",89766,1,0,0,"home_brew%1:13:00::",NULL,"n",13,"an alcoholic beverage (especially beer) made at home",NULL
107902032,64829,NULL,"homebrew",89812,1,0,0,"homebrew%1:13:00::",NULL,"n",13,"an alcoholic beverage (especially beer) made at home",NULL
107902151,65087,NULL,"hooch",90161,1,0,0,"hooch%1:13:00::",NULL,"n",13,"an illicitly distilled (and usually inferior) alcoholic liquor",NULL
107902151,65165,NULL,"hootch",90292,1,0,0,"hootch%1:13:00::",NULL,"n",13,"an illicitly distilled (and usually inferior) alcoholic liquor",NULL
107902292,73432,NULL,"kava",101712,1,0,0,"kava%1:13:00::",NULL,"n",13,"an alcoholic drink made from the aromatic roots of the kava shrub",NULL
107902292,73433,NULL,"kavakava",101713,1,0,0,"kavakava%1:13:00::",NULL,"n",13,"an alcoholic drink made from the aromatic roots of the kava shrub",NULL
107902438,6709,NULL,"aperitif",8711,1,0,0,"aperitif%1:13:00::",NULL,"n",13,"alcoholic beverage taken before a meal as an appetizer",NULL
107902547,17247,NULL,"brew",23346,1,0,0,"brew%1:13:00::",NULL,"n",13,"drink made by steeping and boiling and fermenting rather than distilling",NULL
107902547,17248,NULL,"brewage",23349,1,0,0,"brewage%1:13:00::",NULL,"n",13,"drink made by steeping and boiling and fermenting rather than distilling",NULL
107902824,12750,NULL,"beer",16894,1,0,18,"beer%1:13:00::",NULL,"n",13,"a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops",NULL
107903074,38935,NULL,"draft beer",54863,1,0,0,"draft_beer%1:13:00::",NULL,"n",13,"beer drawn from a keg",NULL
107903074,39030,NULL,"draught beer",55029,1,0,0,"draught_beer%1:13:00::",NULL,"n",13,"beer drawn from a keg",NULL
107903167,127815,NULL,"suds",179381,2,0,0,"suds%1:13:00::",NULL,"n",13,"a dysphemism for beer (especially for lager that effervesces)",NULL
107903279,87649,21504,"munchener",121021,1,0,0,"munchener%1:13:00::","Munchener","n",13,"a dark lager produced in Munich since the 10th century; has a distinctive taste of malt",NULL
107903279,87665,21511,"munich beer",121047,1,0,0,"munich_beer%1:13:00::","Munich beer","n",13,"a dark lager produced in Munich since the 10th century; has a distinctive taste of malt",NULL
107903436,15620,NULL,"bock",20922,1,0,0,"bock%1:13:00::",NULL,"n",13,"a very strong lager traditionally brewed in the fall and aged through the winter for consumption in the spring",NULL
107903436,15621,NULL,"bock beer",20923,1,0,0,"bock_beer%1:13:00::",NULL,"n",13,"a very strong lager traditionally brewed in the fall and aged through the winter for consumption in the spring",NULL
107903609,75035,NULL,"lager",103837,2,0,0,"lager%1:13:00::",NULL,"n",13,"a general term for beer made with bottom fermenting yeast (usually by decoction mashing); originally it was brewed in March or April and matured until September",NULL
107903609,75036,NULL,"lager beer",103838,1,0,0,"lager_beer%1:13:00::",NULL,"n",13,"a general term for beer made with bottom fermenting yeast (usually by decoction mashing); originally it was brewed in March or April and matured until September",NULL
107903942,77538,NULL,"light beer",107342,1,0,0,"light_beer%1:13:00::",NULL,"n",13,"lager with reduced alcohol content",NULL
107904033,92338,22876,"octoberfest",127136,1,0,0,"octoberfest%1:13:00::","Octoberfest","n",13,"a strong lager made originally in Germany for the Oktoberfest celebration; sweet and copper-colored",NULL
107904033,92733,22970,"oktoberfest",127701,1,0,0,"oktoberfest%1:13:00::","Oktoberfest","n",13,"a strong lager made originally in Germany for the Oktoberfest celebration; sweet and copper-colored",NULL
107904204,100498,24850,"pilsener",138036,1,0,0,"pilsener%1:13:00::","Pilsener","n",13,"a pale lager with strong flavor of hops; first brewed in the Bohemian town of Pilsen",NULL
107904204,100499,24851,"pilsner",138037,1,0,0,"pilsner%1:13:00::","Pilsner","n",13,"a pale lager with strong flavor of hops; first brewed in the Bohemian town of Pilsen",NULL
107904353,118759,NULL,"shebeen",165407,1,2,0,"shebeen%1:13:02::",NULL,"n",13,"unlicensed drinking establishment",NULL
107904440,143777,33543,"weissbier",202106,1,0,0,"weissbier%1:13:00::","Weissbier","n",13,"a general name for beers made from wheat by top fermentation; usually very pale and cloudy and effervescent",NULL
107904440,144137,NULL,"wheat beer",202589,1,0,0,"wheat_beer%1:13:00::",NULL,"n",13,"a general name for beers made from wheat by top fermentation; usually very pale and cloudy and effervescent",NULL
107904440,144346,NULL,"white beer",202980,1,0,0,"white_beer%1:13:00::",NULL,"n",13,"a general name for beers made from wheat by top fermentation; usually very pale and cloudy and effervescent",NULL
107904684,143779,33545,"weizenbier",202108,1,0,0,"weizenbier%1:13:00::","Weizenbier","n",13,"a general name in southern Germany for wheat beers",NULL
107904791,143780,33546,"weizenbock",202109,1,0,0,"weizenbock%1:13:00::","Weizenbock","n",13,"a German wheat beer of bock strength",NULL
107904884,81305,NULL,"malt",112420,3,1,0,"malt%1:13:01::",NULL,"n",13,"a cereal grain (usually barley) that is kiln-dried after having been germinated by soaking in water; used especially in brewing and distilling",NULL
107905168,146144,NULL,"wort",205441,2,0,0,"wort%1:13:00::",NULL,"n",13,"unfermented or fermenting malt",NULL
107905249,81305,NULL,"malt",112421,2,2,0,"malt%1:13:02::",NULL,"n",13,"a lager of high alcohol content; by law it is considered too alcoholic to be sold as lager or beer",NULL
107905249,81306,NULL,"malt liquor",112427,1,0,0,"malt_liquor%1:13:00::",NULL,"n",13,"a lager of high alcohol content; by law it is considered too alcoholic to be sold as lager or beer",NULL
107905485,3491,NULL,"ale",4725,1,0,0,"ale%1:13:00::",NULL,"n",13,"a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume",NULL
107905789,14407,NULL,"bitter",19118,1,0,0,"bitter%1:13:00::",NULL,"n",13,"English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)",NULL
107905965,18596,4959,"burton",25387,3,0,0,"burton%1:13:00::","Burton","n",13,"a strong dark English ale",NULL
107906043,95999,NULL,"pale ale",132058,1,0,0,"pale_ale%1:13:00::",NULL,"n",13,"an amber colored ale brewed with pale malts; similar to bitter but drier and lighter",NULL
