"lemma","definition"
"annona glabra","small evergreen tree of tropical America with edible fruit; used chiefly as grafting stock"
"pond-apple tree","small evergreen tree of tropical America with edible fruit; used chiefly as grafting stock"
"pond apple","small evergreen tree of tropical America with edible fruit; used chiefly as grafting stock"
"may apple","North American herb with poisonous root stock and edible though insipid fruit"
"mayapple","North American herb with poisonous root stock and edible though insipid fruit"
"podophyllum peltatum","North American herb with poisonous root stock and edible though insipid fruit"
"wild mandrake","North American herb with poisonous root stock and edible though insipid fruit"
"family lardizabalaceae","thick-stemmed lianas and some shrubs; some have edible fruit"
"lardizabala family","thick-stemmed lianas and some shrubs; some have edible fruit"
"lardizabalaceae","thick-stemmed lianas and some shrubs; some have edible fruit"
"acanthocereus pentagonus","cactus of the southwestern United States and northern Mexico having edible juicy fruit"
"acanthocereus tetragonus","cactus of the southwestern United States and northern Mexico having edible juicy fruit"
"pitahaya","cactus of the southwestern United States and northern Mexico having edible juicy fruit"
"pitahaya cactus","cactus of the southwestern United States and northern Mexico having edible juicy fruit"
"carnegiea gigantea","extremely large treelike cactus of desert regions of southwestern United States having a thick columnar sparsely branched trunk bearing white flowers and edible red pulpy fruit"
"saguaro","extremely large treelike cactus of desert regions of southwestern United States having a thick columnar sparsely branched trunk bearing white flowers and edible red pulpy fruit"
"sahuaro","extremely large treelike cactus of desert regions of southwestern United States having a thick columnar sparsely branched trunk bearing white flowers and edible red pulpy fruit"
"genus lemaireocereus","tropical American cacti usually tall and branching with stout spines and funnel-shaped flowers and globular or ovoid often edible fruit"
"lemaireocereus","tropical American cacti usually tall and branching with stout spines and funnel-shaped flowers and globular or ovoid often edible fruit"
"chichipe","tall treelike Mexican cactus with edible red fruit"
"lemaireocereus chichipe","tall treelike Mexican cactus with edible red fruit"
"garambulla","arborescent cactus of western Mexico bearing a small oblong edible berrylike fruit"
"garambulla cactus","arborescent cactus of western Mexico bearing a small oblong edible berrylike fruit"
"myrtillocactus geometrizans","arborescent cactus of western Mexico bearing a small oblong edible berrylike fruit"
"capparis arborea","small Australian tree bearing edible fruit resembling the pomegranate"
"native pomegranate","small Australian tree bearing edible fruit resembling the pomegranate"
"capparis mitchellii","small Australian tree bearing edible dark purple fruit"
"native orange","small Australian tree bearing edible dark purple fruit"
"pandanus","any of various Old World tropical palmlike trees having huge prop roots and edible conelike fruits and leaves like pineapple leaves"
"screw pine","any of various Old World tropical palmlike trees having huge prop roots and edible conelike fruits and leaves like pineapple leaves"
"squash","any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits"
"squash vine","any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits"
"dishcloth gourd","any of several tropical annual climbers having large yellow flowers and edible young fruits; grown commercially for the mature fruit's dried fibrous interior that is used as a sponge"
"luffa","any of several tropical annual climbers having large yellow flowers and edible young fruits; grown commercially for the mature fruit's dried fibrous interior that is used as a sponge"
"rag gourd","any of several tropical annual climbers having large yellow flowers and edible young fruits; grown commercially for the mature fruit's dried fibrous interior that is used as a sponge"
"sponge gourd","any of several tropical annual climbers having large yellow flowers and edible young fruits; grown commercially for the mature fruit's dried fibrous interior that is used as a sponge"
"strainer vine","any of several tropical annual climbers having large yellow flowers and edible young fruits; grown commercially for the mature fruit's dried fibrous interior that is used as a sponge"
"durian","tree of southeastern Asia having edible oval fruit with a hard spiny rind"
"durian tree","tree of southeastern Asia having edible oval fruit with a hard spiny rind"
"durio zibethinus","tree of southeastern Asia having edible oval fruit with a hard spiny rind"
"durion","tree of southeastern Asia having edible oval fruit with a hard spiny rind"
"calabur tree","a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit; bark yields a silky fiber used in cordage and wood is valuable for staves"
"calabura","a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit; bark yields a silky fiber used in cordage and wood is valuable for staves"
"jamaican cherry","a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit; bark yields a silky fiber used in cordage and wood is valuable for staves"
"muntingia calabura","a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit; bark yields a silky fiber used in cordage and wood is valuable for staves"
"silk wood","a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit; bark yields a silky fiber used in cordage and wood is valuable for staves"
"silkwood","a fast-growing tropical American evergreen having white flowers and white fleshy edible fruit; bark yields a silky fiber used in cordage and wood is valuable for staves"
"grewia asiatica","drought-resistant Asiatic treelike shrub bearing pleasantly acid small red edible fruits commonly used in sherbets"
