"lemma","definition"
"meadow buttercup","perennial European buttercup with yellow spring flowers widely naturalized especially in eastern North America"
"ranunculus acris","perennial European buttercup with yellow spring flowers widely naturalized especially in eastern North America"
"tall buttercup","perennial European buttercup with yellow spring flowers widely naturalized especially in eastern North America"
"tall crowfoot","perennial European buttercup with yellow spring flowers widely naturalized especially in eastern North America"
"tall field buttercup","perennial European buttercup with yellow spring flowers widely naturalized especially in eastern North America"
"dutch clover","creeping European clover having white to pink flowers and bright green leaves; naturalized in United States; widely grown for forage"
"shamrock","creeping European clover having white to pink flowers and bright green leaves; naturalized in United States; widely grown for forage"
"trifolium repens","creeping European clover having white to pink flowers and bright green leaves; naturalized in United States; widely grown for forage"
"white clover","creeping European clover having white to pink flowers and bright green leaves; naturalized in United States; widely grown for forage"
"bouncing bess","plant of European origin having pink or white flowers and leaves yielding a detergent when bruised"
"bouncing bet","plant of European origin having pink or white flowers and leaves yielding a detergent when bruised"
"hedge pink","plant of European origin having pink or white flowers and leaves yielding a detergent when bruised"
"saponaria officinalis","plant of European origin having pink or white flowers and leaves yielding a detergent when bruised"
"soapwort","plant of European origin having pink or white flowers and leaves yielding a detergent when bruised"
"chenopodium glaucum","annual European plant with spikes of greenish flowers and leaves that are white and hairy on the underside; common as a weed in North America"
"oak-leaved goosefoot","annual European plant with spikes of greenish flowers and leaves that are white and hairy on the underside; common as a weed in North America"
"oakleaf goosefoot","annual European plant with spikes of greenish flowers and leaves that are white and hairy on the underside; common as a weed in North America"
"berteroa incana","tall European annual with downy grey-green foliage and dense heads of small white flowers followed by hairy pods; naturalized in North America; sometimes a troublesome weed"
"hoary alison","tall European annual with downy grey-green foliage and dense heads of small white flowers followed by hairy pods; naturalized in North America; sometimes a troublesome weed"
"hoary alyssum","tall European annual with downy grey-green foliage and dense heads of small white flowers followed by hairy pods; naturalized in North America; sometimes a troublesome weed"
"honesty","southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
"lunaria annua","southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
"money plant","southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
"satin flower","southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
"satinpod","southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
"silver dollar","southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
"blue succory","south European plant having dark-eyed flowers with flat blue rays"
"catananche caerulea","south European plant having dark-eyed flowers with flat blue rays"
"cupid's dart","south European plant having dark-eyed flowers with flat blue rays"
"cardoon","southern European plant having spiny leaves and purple flowers cultivated for its edible leafstalks and roots"
"cynara cardunculus","southern European plant having spiny leaves and purple flowers cultivated for its edible leafstalks and roots"
"corn mayweed","ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria"
"matricaria inodorum","ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria"
"scentless camomile","ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria"
"scentless false camomile","ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria"
"scentless hayweed","ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria"
"scentless mayweed","ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria"
"tripleurospermum inodorum","ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria"
"greater butterfly orchid","south European orchid with dark green flowers that are larger and less fragrant than Platanthera bifolia; sometimes placed in genus Habenaria"
"habenaria chlorantha","south European orchid with dark green flowers that are larger and less fragrant than Platanthera bifolia; sometimes placed in genus Habenaria"
"platanthera chlorantha","south European orchid with dark green flowers that are larger and less fragrant than Platanthera bifolia; sometimes placed in genus Habenaria"
"bilberry","erect European blueberry having solitary flowers and blue-black berries"
"blaeberry","erect European blueberry having solitary flowers and blue-black berries"
"viccinium myrtillus","erect European blueberry having solitary flowers and blue-black berries"
"whinberry","erect European blueberry having solitary flowers and blue-black berries"
"whortleberry","erect European blueberry having solitary flowers and blue-black berries"
"centaurium minus","common European glabrous annual centaury with flowers in dense cymes"
"lesser centaury","common European glabrous annual centaury with flowers in dense cymes"
"daphne mezereum","small European deciduous shrub with fragrant lilac-colored flowers followed by red berries on highly toxic twigs"
"february daphne","small European deciduous shrub with fragrant lilac-colored flowers followed by red berries on highly toxic twigs"
"mezereon","small European deciduous shrub with fragrant lilac-colored flowers followed by red berries on highly toxic twigs"
"bladder senna","yellow-flowered European shrub cultivated for its succession of yellow flowers and very inflated bladdery pods and as a source of wildlife food"
"colutea arborescens","yellow-flowered European shrub cultivated for its succession of yellow flowers and very inflated bladdery pods and as a source of wildlife food"
"medicago arborea","evergreen shrub of southern European highlands having downy foliage and a succession of yellow flowers throughout the summer followed by curious snail-shaped pods"
"moon trefoil","evergreen shrub of southern European highlands having downy foliage and a succession of yellow flowers throughout the summer followed by curious snail-shaped pods"
"black medick","prostrate European herb with small yellow flowers and curved black pods; naturalized in North America"
"hop clover","prostrate European herb with small yellow flowers and curved black pods; naturalized in North America"
"medicago lupulina","prostrate European herb with small yellow flowers and curved black pods; naturalized in North America"
"nonesuch clover","prostrate European herb with small yellow flowers and curved black pods; naturalized in North America"
"yellow trefoil","prostrate European herb with small yellow flowers and curved black pods; naturalized in North America"
"alfalfa","important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop"
"lucerne","important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop"
"medicago sativa","important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop"
"asperula tinctoria","creeping European perennial having red or pinkish-white flowers and red roots sometimes used as a substitute for madder in dyeing"
"dyer's woodruff","creeping European perennial having red or pinkish-white flowers and red roots sometimes used as a substitute for madder in dyeing"
"dipsacaceae","chiefly southern European herbs with flowers usually in dense cymose heads"
"family dipsacaceae","chiefly southern European herbs with flowers usually in dense cymose heads"
"alehoof","trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets; naturalized in North America; sometimes placed in genus Nepeta"
"field balm","trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets; naturalized in North America; sometimes placed in genus Nepeta"
"gill-over-the-ground","trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets; naturalized in North America; sometimes placed in genus Nepeta"
"glechoma hederaceae","trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets; naturalized in North America; sometimes placed in genus Nepeta"
"ground ivy","trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets; naturalized in North America; sometimes placed in genus Nepeta"
"nepeta hederaceae","trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets; naturalized in North America; sometimes placed in genus Nepeta"
"runaway robin","trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets; naturalized in North America; sometimes placed in genus Nepeta"
"common speedwell","common hairy European perennial with pale blue or lilac flowers in axillary racemes"
"gypsyweed","common hairy European perennial with pale blue or lilac flowers in axillary racemes"
"veronica officinalis","common hairy European perennial with pale blue or lilac flowers in axillary racemes"
"devil's milk","not unattractive European weed whose flowers turn toward the sun"
"euphorbia helioscopia","not unattractive European weed whose flowers turn toward the sun"
"sun spurge","not unattractive European weed whose flowers turn toward the sun"
"wartweed","not unattractive European weed whose flowers turn toward the sun"
"wartwort","not unattractive European weed whose flowers turn toward the sun"
