"synsetid","wordid","casedwordid","lemma","senseid","sensenum","lexid","tagcount","sensekey","cased","pos","lexdomainid","definition","sampleset"
107754546,11208,NULL,"banana peel",14706,1,0,0,"banana_peel%1:13:00::",NULL,"n",13,"the skin of a banana (especially when it is stripped off and discarded)","he slipped on a banana skin and almost fell"
107754546,11211,NULL,"banana skin",14709,1,0,0,"banana_skin%1:13:00::",NULL,"n",13,"the skin of a banana (especially when it is stripped off and discarded)","he slipped on a banana skin and almost fell"
107754736,76699,NULL,"lemon peel",106129,1,0,0,"lemon_peel%1:13:00::",NULL,"n",13,"the rind of a lemon",NULL
107754736,76700,NULL,"lemon rind",106131,1,0,0,"lemon_rind%1:13:00::",NULL,"n",13,"the rind of a lemon",NULL
107754881,93746,NULL,"orange peel",129035,1,0,0,"orange_peel%1:13:00::",NULL,"n",13,"the rind of an orange",NULL
107754881,93750,NULL,"orange rind",129040,1,0,0,"orange_rind%1:13:00::",NULL,"n",13,"the rind of an orange",NULL
107755011,145203,NULL,"windfall",204067,1,0,0,"windfall%1:13:00::",NULL,"n",13,"fruit that has fallen from the tree",NULL
107755101,7007,NULL,"apple",9082,1,0,1,"apple%1:13:00::",NULL,"n",13,"fruit with red or yellow or green skin and sweet to tart crisp whitish flesh",NULL
107755320,31066,NULL,"crab apple",43174,3,0,0,"crab_apple%1:13:00::",NULL,"n",13,"small sour apple; suitable for preserving","crabapples make a tangy jelly"
107755320,31080,NULL,"crabapple",43184,3,0,0,"crabapple%1:13:00::",NULL,"n",13,"small sour apple; suitable for preserving","crabapples make a tangy jelly"
107755482,35756,NULL,"dessert apple",50074,1,0,0,"dessert_apple%1:13:00::",NULL,"n",13,"an apple used primarily for eating raw without cooking",NULL
107755482,40408,NULL,"eating apple",57126,1,0,0,"eating_apple%1:13:00::",NULL,"n",13,"an apple used primarily for eating raw without cooking",NULL
107755899,11009,3333,"baldwin",14441,3,0,0,"baldwin%1:13:00::","Baldwin","n",13,"an American eating apple with red or yellow and red skin",NULL
107756009,30366,7807,"cortland",42174,1,0,0,"cortland%1:13:00::","Cortland","n",13,"large apple with a red skin",NULL
107756091,31032,7914,"cox's orange pippin",43112,1,0,0,"cox's_orange_pippin%1:13:00::","Cox's Orange Pippin","n",13,"a yellow Pippin with distinctive flavor",NULL
107756196,34870,8824,"delicious",48747,1,0,0,"delicious%1:13:00::","Delicious","n",13,"variety of sweet eating apples",NULL
107756318,58695,13001,"golden delicious",81385,1,0,0,"golden_delicious%1:13:00::","Golden Delicious","n",13,"a sweet eating apple with yellow skin",NULL
107756318,146747,34264,"yellow delicious",206330,1,0,0,"yellow_delicious%1:13:00::","Yellow Delicious","n",13,"a sweet eating apple with yellow skin",NULL
107756437,109336,26585,"red delicious",151203,1,0,0,"red_delicious%1:13:00::","Red Delicious","n",13,"a sweet eating apple with bright red skin; most widely grown apple worldwide",NULL
107756573,42069,10272,"empire",59239,5,0,0,"empire%1:13:00::","Empire","n",13,"an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple",NULL
