"POS","ID","PosScore","NegScore","SynsetTerms","Gloss"
"n","00039545",0,0.625,"brush#9","contact with something dangerous or undesirable; \"I had a brush with danger on my way to work\"; \"he tried to avoid any brushes with the police\""
"n","00046344",0,0.625,"stunt#1","a difficult or unusual or dangerous feat; usually done to gain attention"
"n","00065216",0,0.75,"conquest#2","success in mastering something difficult; \"the conquest of space\""
"n","00070807",0,0.75,"partial_breach#1","a breach that does not destroy the value of the contract but can give rise to a claim for damages"
"n","00070965",0,0.625,"mistake#1 fault#1 error#1","a wrong action attributable to bad judgment or ignorance or inattention; \"he made a bad mistake\"; \"she was quick to point out my errors\"; \"I could understand his English in spite of his grammatical faults\""
"n","00076323",0,0.625,"howler#3","a glaring blunder"
"n","00109892",0,0.625,"wild_pitch#1","an errant pitch that the catcher cannot be expected to catch and that allows a base runner to advance a base"
"n","00118268",0,0.625,"flush#7 blush#2","sudden reddening of the face (as from embarrassment or guilt or shame or modesty)"
"n","00119297",0,0.75,"hyperemesis#1","severe and excessive vomiting"
"n","00127672",0,0.875,"worst#3","the weakest effort or poorest achievement one is capable of; \"it was the worst he had ever done on a test\""
"n","00130512",0,0.625,"whiff#3","a strikeout resulting from the batter swinging at and missing the ball for the third strike"
"n","00134246",0,0.625,"tko#1 technical_knockout#1","a knockout declared by the referee who judges one boxer unable to continue"
"n","00135637",0,0.625,"sunday_punch#1 ko_punch#1 knockout_punch#1 haymaker#2","a hard punch that renders the opponent unable to continue boxing"
"n","00184802",0,0.75,"multiple_voting#1","the act of voting in more than one place by the same person at the same election (illegal in U.S.)"
"n","00189896",0,0.625,"earned_run#1","a run that was not scored as the result of an error by the other team"
"n","00202284",0,0.75,"resistance#1 opposition#1","the action of opposing something that you disapprove or disagree with; \"he encountered a general feeling of resistance from many citizens\"; \"despite opposition from the newspapers he went ahead\""
"n","00204659",0,0.75,"exposure#10","abandoning without shelter or protection (as by leaving as infant out in the open)"
"n","00208521",0,0.625,"relegation#3","mild banishment; consignment to an inferior position; \"he has been relegated to a post in Siberia\""
"n","00226511",0,0.75,"bronchospasm#1","a spasm of the bronchi that makes exhalation difficult and noisy; associated with asthma and bronchitis"
"n","00226711",0,0.625,"cardiospasm#1","a spasm of the cardiac sphincter (between the esophagus and the stomach); if the cardiac sphincter does not relax during swallowing the passage of food into the stomach is obstructed"
"n","00254166",0,0.75,"pasteurization#1 pasteurisation#1","partial sterilization of foods at a temperature that destroys harmful microorganisms without major changes in the chemistry of the food"
"n","00268025",0,0.75,"oil_change#1","replacing dirty oil with clean"
"n","00310425",0,0.875,"shlep#2 schlep#2","a tedious or difficult journey"
"n","00337605",0,0.625,"nystagmus#1","involuntary movements of the eyeballs; its presence or absence is used to diagnose a variety of neurological and visual disorders"
"n","00355547",0,0.75,"palliation#1","easing the severity of a pain or a disease without removing the cause"
"n","00362546",0,0.75,"wilting#1 wilt#2","causing to become limp or drooping"
"n","00397647",0.333,0.667,"comstockery#1","censorship because of perceived obscenity or immorality"
"n","00403911",0,0.75,"burn#5","damage inflicted by fire"
"n","00419908",0.125,0.75,"maltreatment#1 ill-usage#1 ill-treatment#1 abuse#1","cruel or inhumane treatment; \"the child showed signs of physical abuse\""
"n","00422391",0,0.625,"burning#6","a form of torture in which cigarettes or cigars or other hot implements are used to burn the victim's skin"
"n","00422551",0,0.75,"excruciation#2 crucifixion#3","the infliction of extremely painful punishment or suffering"
"n","00422719",0,0.75,"genital_torture#1","blunt or penetrating trauma or rape (vaginal or anal)"
"n","00424599",0,0.625,"inhuman_treatment#1 cruelty#1","a cruel act; a deliberate infliction of pain and suffering"
"n","00513841",0.125,0.625,"teasing#2","playful vexation; \"the parody was just a form of teasing\""
"n","00522338",0,0.75,"repudiation#3 debunking#1","the exposure of falseness or pretensions; \"the debunking of religion has been too successful\""
"n","00551585",0,0.875,"overacting#1 hamming#1","poor acting by a ham actor"
"n","00552922",0,0.625,"disorganization#2 disorganisation#2","the disturbance of a systematic arrangement causing disorder and confusion; \"the disorganization of the enemy troops by a flank attack\""
"n","00624147",0,0.625,"the_devil#1","something difficult or awkward to do or deal with; \"it will be the devil to solve\""
"n","00624285",0,0.625,"tsuris#1","(Yiddish) aggravating trouble; \"the frustrating tsuris he subjected himself to\""
"n","00633717",0,0.875,"overexertion#1","excessive exertion; so much exertion that discomfort or injury results"
"n","00664577",0,0.75,"occupational_therapy#1","therapy based on engagement in meaningful activities of daily life, especially to enable or encourage participation in such activities in spite of impairments or limitations in physical or mental functions"
"n","00669000",0,0.625,"cholecystectomy#1","surgical removal of the gall bladder (usually for relief of gallstone pain)"
"n","00678988",0,0.625,"cyclodestructive_surgery#1","an eye operation that treats glaucoma by destroying the ciliary body with a laser"
"n","00685349",0,0.625,"minor_surgery#1","any surgical procedure that does not involve anesthesia or respiratory assistance"
"n","00709521",0,0.75,"disinfection#1","treatment to destroy harmful microorganisms"
"n","00725152",0,0.625,"steal#2","a stolen base; an instance in which a base runner advances safely during the delivery of a pitch (without the help of a hit or walk or passed ball or wild pitch)"
"n","00731648",0,0.875,"mission_impossible#1","an extremely dangerous or difficult mission"
"n","00732576",0,1,"shitwork#1 scut_work#1","trivial, unrewarding, tedious, dirty, and disagreeable chores; \"the hospital hired him to do scut work\""
"n","00734783",0,0.625,"continuing_trespass#1","trespass that is not transient or intermittent but continues as long as the offending object remains; \"dumping his garbage on my land was a case of continuing trespass\""
"n","00735936",0,0.625,"misdeed#1 misbehaviour#1 misbehavior#1","improper or wicked or immoral behavior"
